1	20161
1	13456
2	12792
2	4945
2	9827
2	5725
2	6907
2	7051
3	20515
4	9869
5	7928
6	12941
7	20169
8	9144
9	2920
10	1967
10	19492
10	19446
10	3782
11	7607
12	20315
13	18553
14	9767
15	16023
16	2930
17	21161
18	3653
19	11018
20	21046
21	20150
22	2834
23	13530
24	3607
25	4853
26	204
27	708
28	6655
29	14861
30	8722
31	5638
31	9885
32	1429
32	9846
32	12342
32	11919
33	7299
34	1754
34	4729
34	17262
34	15260
34	20313
35	2910
36	1889
37	10475
37	18133
38	13324
38	12775
39	4698
40	20026
40	10336
40	21127
40	15008
40	3208
41	8219
42	20985
43	10706
43	6751
44	6353
45	4749
46	9218
47	491
48	17002
49	4167
50	16836
51	12865
52	8401
53	5863
54	398
55	2176
56	21130
57	15800
57	6797
58	3286
59	4656
60	869
60	8353
60	2518
61	4321
62	13324
63	9889
64	9577
65	753
66	521
67	2774
68	11949
69	17669
70	11098
71	13184
72	7932
73	3562
74	6885
75	3823
76	15955
76	11793
77	17109
78	8022
79	16896
80	3366
81	5860
82	9714
83	19995
84	3472
84	4625
85	15820
86	13870
87	18748
88	5745
89	5393
90	7400
90	602
91	13588
92	74
92	7285
92	13867
92	504
92	15724
93	8179
94	16836
95	21061
96	4406
96	14787
97	11319
98	4972
99	4448
100	10133
101	12282
102	3741
103	20849
104	4088
105	16637
106	14370
107	20318
108	10315
109	16714
110	7660
111	9539
112	8394
112	19492
113	15301
114	17871
115	21151
116	8792
117	19187
117	13057
117	13076
118	16406
119	10930
120	12029
120	11457
120	2484
120	8486
121	18442
122	9139
122	7210
123	4610
124	217
125	8098
126	15814
127	20107
128	15657
129	6965
130	4188
131	10864
132	19500
133	622
134	10791
135	13293
136	19322
137	13308
137	18438
137	12963
137	9386
138	16305
139	17896
139	4022
140	12583
141	6859
141	7005
142	1021
143	6318
144	4444
145	1150
146	13678
146	14570
147	10220
148	18810
149	12252
150	9613
151	13826
151	14988
152	8766
153	9240
154	6638
154	7143
154	9417
154	4575
155	15486
156	263
157	11332
158	1308
158	1810
159	14391
160	11444
161	5550
162	4388
162	8975
163	135
164	12567
165	8082
166	232
167	5094
168	9671
169	13499
170	3383
171	17408
171	3924
171	5408
171	7412
171	2377
171	8521
171	1008
171	10296
172	10061
173	335
174	905
174	888
175	16266
176	15198
177	13342
178	8570
179	8150
180	21205
181	9814
182	21304
183	14917
184	6886
185	1536
186	12434
187	12283
188	2809
189	16472
190	7591
191	4189
192	560
193	266
194	10671
195	19800
196	20179
197	15021
197	19390
198	18844
199	13059
200	4270
201	20279
202	12935
203	2774
204	14649
205	4539
206	16388
206	5206
207	11708
208	16833
209	6611
210	6731
211	3025
212	15976
213	19322
214	13309
214	20569
215	14779
215	17789
216	13341
217	20952
217	7906
217	7922
218	19150
218	6947
219	1116
220	927
220	3197
220	15972
221	13374
221	13387
221	4434
222	15753
223	10287
223	6124
223	13568
223	7382
224	15880
225	8184
226	15277
227	5785
228	8719
229	547
230	4371
231	11564
232	4179
233	6844
233	19042
233	1069
233	17532
233	13015
233	6952
234	12886
234	13027
234	14767
235	10844
235	4760
235	18710
235	16260
235	18117
235	12899
236	21207
237	15258
238	5609
239	19949
240	19829
240	13801
241	20959
242	5141
243	10886
244	13934
245	19864
246	2130
247	15721
248	12077
248	8034
249	10986
250	3873
251	10934
252	3850
253	5491
253	8034
254	469
255	18974
256	14562
257	15909
258	17673
259	3103
259	642
259	8993
259	15417
260	15146
261	6611
261	348
262	220
263	10465
264	1324
264	3232
264	19665
264	10588
264	530
265	10547
266	16372
267	10550
268	7930
269	715
270	1710
271	18939
272	7110
272	13547
272	11658
272	13693
272	10235
272	20658
272	2583
272	8952
272	5039
273	2243
273	10462
274	6393
275	666
276	5258
277	9193
278	15681
279	20862
280	18978
281	20747
282	328
283	1615
284	560
285	18813
286	17413
287	18340
288	11727
289	4449
290	14373
290	13505
291	5033
292	15759
293	4085
293	3501
293	2163
293	13211
294	9577
295	3042
296	3402
296	14232
296	15657
296	6183
296	6108
